timestamp,ticker,assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTime,tradeTime,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled
2022-11-25 11:04:45,BABA,EQUITY,EQUITY,01609W102,ADR,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight,75.71,1000,T,75.72,500,T,75.7101,100,D,75.5,76.05,74.92, ,78.5,-2.7899,7778321,2022-11-25 11:04:45,2022-11-25 11:04:45,75.7101,n,NYSE,True,True,0.0174,2,138.7,58.01,0.0,114.5619,0.0,0.0,,Normal,75.7101,1,-2.7899,-3.554,-2.7899,-3.554,-3.554,True,False
2022-11-25 11:04:40,AMC,EQUITY,EQUITY,00165C104,,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",7.64,2800,K,7.65,1000,N,7.6495,200,D,7.66,7.74,7.5, ,7.64,0.0095,5357410,2022-11-25 11:04:45,2022-11-25 11:04:40,7.6495,n,NYSE,True,True,0.0753,2,42.03,5.05,0.0,0.0,0.0,0.0,,Normal,7.6495,2,0.0095,0.1243,0.0095,0.1243,0.1243,True,False
2022-11-25 11:04:39,HYG,ETF,EQUITY,464288513,ETF,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,75.04,7600,N,75.05,2900,T,75.05,100,Y,75.15,75.175,74.98, ,75.16,-0.11,3868836,2022-11-25 11:04:45,2022-11-25 11:04:39,75.05,p,PACIFIC,True,True,0.0087,2,87.32,70.4,0.0,0.0,3.7662,5.01,2022-11-01 00:00:00.000,Normal,75.05,1,-0.11,-0.1464,-0.11,-0.1464,-0.1464,True,False
2022-11-25 11:04:44,MSFT,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,248.03,900,Q,248.05,200,Z,248.045,100,D,247.31,248.7,247.125, ,247.58,0.465,4155387,2022-11-25 11:04:45,2022-11-25 11:04:44,248.045,q,NASD,True,True,0.0228,4,344.3,213.431,0.0,26.6777,2.72,1.1,2022-11-16 00:00:00.000,Normal,248.045,1,0.465,0.1878,0.465,0.1878,0.1878,True,False
2022-11-25 11:04:44,GOOGL,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,97.94,100,H,97.95,1700,K,97.945,100,J,98.24,98.64,97.68, ,98.46,-0.515,4329427,2022-11-25 11:04:45,2022-11-25 11:04:44,97.945,q,NASD,True,True,0.0214,4,151.5466,83.34,0.0,20.1802,0.0,0.0,,Normal,97.945,1,-0.515,-0.5231,-0.515,-0.5231,-0.5231,True,False
2022-11-25 11:04:44,DIS,EQUITY,EQUITY,254687106,,DIS,Walt Disney Company (The) Common Stock,99.66,100,T,99.68,500,N,99.6635,200,D,98.81,99.76,98.08, ,98.88,0.7835,3286041,2022-11-25 11:04:44,2022-11-25 11:04:44,99.6635,n,NYSE,True,True,0.0224,2,160.32,86.28,0.0,56.5649,0.0,0.0,,Normal,99.6635,2,0.7835,0.7924,0.7835,0.7924,0.7924,True,False
2022-11-25 11:04:42,UVXY,ETF,EQUITY,74347Y839,ETF,UVXY,ProShares Trust Ultra VIX Short Term Futures ETF,7.73,26900,T,7.74,34500,T,7.735,400,D,7.78,7.8,7.68, ,7.68,0.055,6387810,2022-11-25 11:04:42,2022-11-25 11:04:42,7.735,z,BATS,True,True,0.0429,6,26.22,7.66,0.0,0.0,0.0,0.0,,Normal,7.735,4,0.055,0.7161,0.055,0.7161,0.7161,True,False
2022-11-25 11:04:29,NFLX,EQUITY,EQUITY,64110L106,,NFLX,"Netflix, Inc. - Common Stock",286.45,300,K,286.56,100,M,286.53,100,D,289.0,289.21,285.81, ,291.5,-4.97,1380423,2022-11-25 11:04:45,2022-11-25 11:04:29,286.53,q,NASD,True,True,0.0398,4,676.405,162.71,0.0,27.4845,0.0,0.0,,Normal,286.53,1,-4.97,-1.705,-4.97,-1.705,-1.705,True,False
2022-11-25 11:04:40,C,EQUITY,EQUITY,172967424,,C,"Citigroup, Inc. Common Stock",48.47,2800,N,48.48,900,Z,48.475,100,T,48.2,48.53,48.13, ,48.24,0.235,3382427,2022-11-25 11:04:45,2022-11-25 11:04:40,48.475,n,NYSE,True,True,0.0156,2,69.11,40.005,0.0,6.5048,2.04,4.23,2022-11-04 00:00:00.000,Normal,48.475,1,0.235,0.4871,0.235,0.4871,0.4871,True,False
2022-11-25 11:04:44,COIN,EQUITY,EQUITY,19260Q107,,COIN,"Coinbase Global, Inc. - Class A Common Stock",44.51,300,V,44.58,200,Q,44.58,700,D,44.76,45.2365,43.7, ,45.57,-0.99,3375170,2022-11-25 11:04:44,2022-11-25 11:04:44,44.58,q,NASD,True,True,0.0648,4,331.7,40.61,0.0,0.0,0.0,0.0,,Normal,44.58,7,-0.99,-2.1725,-0.99,-2.1725,-2.1725,True,False
2022-11-25 11:04:44,GOOG,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,98.18,300,K,98.19,400,P,98.1814,100,D,98.465,98.94,97.95, ,98.82,-0.6386,3199454,2022-11-25 11:04:45,2022-11-25 11:04:44,98.1814,q,NASD,True,True,0.0243,4,152.1,83.45,0.0,20.1802,0.0,0.0,,Normal,98.1814,1,-0.6386,-0.6462,-0.6386,-0.6462,-0.6462,True,False
2022-11-25 11:04:39,TLT,ETF,EQUITY,464287432,ETF,TLT,iShares 20+ Year Treasury Bond ETF,102.65,700,Q,102.66,1100,P,102.66,400,Z,102.61,102.77,102.47, ,103.25,-0.59,5521969,2022-11-25 11:04:44,2022-11-25 11:04:39,102.66,q,NASD,True,True,0.0152,4,155.12,91.85,0.0,0.0,2.5028,2.42,2022-11-01 00:00:00.000,Normal,102.66,4,-0.59,-0.5714,-0.59,-0.5714,-0.5714,True,False
2022-11-25 11:04:44,NIO,EQUITY,EQUITY,62914V106,ADR,NIO,"NIO Inc. American depositary shares, each  representing one Class A ordinary sha",10.19,19700,K,10.2,300,N,10.1988,100,K,10.26,10.3,9.96, ,10.56,-0.3612,14450190,2022-11-25 11:04:45,2022-11-25 11:04:44,10.1988,n,NYSE,True,True,0.0444,2,43.12,8.375,0.0,0.0,0.0,0.0,,Normal,10.1988,1,-0.3612,-3.4205,-0.3612,-3.4205,-3.4205,True,False
2022-11-25 11:04:45,XLE,ETF,EQUITY,81369Y506,ETF,XLE,SPDR Select Sector Fund - Energy Select Sector,92.4,400,T,92.41,3400,T,92.4,100,T,92.27,92.92,92.07, ,92.21,0.19,4206428,2022-11-25 11:04:45,2022-11-25 11:04:45,92.4,p,PACIFIC,True,True,0.0258,2,94.71,51.66,0.0,0.0,3.0563,3.31,2022-09-19 00:00:00.000,Normal,92.4,1,0.19,0.2061,0.19,0.2061,0.2061,True,False
2022-11-25 11:04:45,SQQQ,ETF,EQUITY,74347G432,ETF,SQQQ,ProShares UltraPro Short QQQ,44.47,5100,K,44.48,3300,Z,44.475,100,D,44.69,45.05,44.37, ,43.94,0.535,22004669,2022-11-25 11:04:45,2022-11-25 11:04:45,44.475,q,NASD,True,True,0.0183,4,69.55,28.15,0.0,0.0,0.33,0.72,2020-03-25 00:00:00.000,Normal,44.475,1,0.535,1.2176,0.535,1.2176,1.2176,True,False
2022-11-25 11:04:36,FXI,ETF,EQUITY,464287184,ETF,FXI,iShares China Large-Cap ETF,25.44,52700,P,25.45,72300,P,25.44,100,D,25.458,25.54,25.41, ,25.77,-0.33,5221286,2022-11-25 11:04:43,2022-11-25 11:04:36,25.44,p,PACIFIC,True,True,0.0219,2,40.18,20.87,0.0,115.6906,0.5802,2.25,2022-06-09 00:00:00.000,Normal,25.44,1,-0.33,-1.2806,-0.33,-1.2806,-1.2806,True,False
2022-11-25 11:04:32,EWZ,ETF,EQUITY,464286400,ETF,EWZ,iShares Inc iShares MSCI Brazil ETF,30.02,10400,P,30.03,20700,P,30.03,100,T,30.04,30.18,29.855, ,29.6,0.43,8878007,2022-11-25 11:04:45,2022-11-25 11:04:32,30.03,p,PACIFIC,True,True,0.0208,2,39.59,25.215,0.0,0.0,1.6601,5.61,2022-06-09 00:00:00.000,Normal,30.03,1,0.43,1.4527,0.43,1.4527,1.4527,True,False
